gene_name,gene_id,transcript_id
NLRP2,ENSG00000022556.15,ENST00000543010.5
SLC45A4,ENSG00000022567.9,ENST00000517878.5
RNF10,ENSG00000022840.15,ENST00000413266.6
ZNF839,ENSG00000022976.15,ENST00000442396.6
ZDHHC6,ENSG00000023041.11,ENST00000369405.7
GRAMD1B,ENSG00000023171.17,ENST00000456860.6
RNH1,ENSG00000023191.16,ENST00000534797.5
NDUFS1,ENSG00000023228.13,ENST00000455934.6
RB1CC1,ENSG00000023287.12,ENST00000025008.9
ERP44,ENSG00000023318.7,ENST00000262455.6
ALAS1,ENSG00000023330.14,ENST00000394965.6
BIRC3,ENSG00000023445.13,ENST00000263464.7
AKAP11,ENSG00000023516.8,ENST00000025301.3
GLRX2,ENSG00000023572.9,ENST00000367440.3
SNAPC1,ENSG00000023608.4,ENST00000216294.4
DERA,ENSG00000023697.12,ENST00000428559.6
STRAP,ENSG00000023734.10,ENST00000419869.6
ABCC2,ENSG00000023839.11,ENST00000370449.9
DEF6,ENSG00000023892.10,ENST00000316637.6
PLEKHO1,ENSG00000023902.13,ENST00000369124.4
GCLM,ENSG00000023909.9,ENST00000370238.7
UBR2,ENSG00000024048.10,ENST00000372899.5
EHD2,ENSG00000024422.11,ENST00000263277.7
DEPDC1,ENSG00000024526.16,ENST00000456315.6
CCDC28A,ENSG00000024862.17,ENST00000611852.4
RRAGD,ENSG00000025039.14,ENST00000369415.8
HSF2,ENSG00000025156.12,ENST00000368455.8
PHF20,ENSG00000025293.16,ENST00000374012.7
HSD17B6,ENSG00000025423.11,ENST00000554643.5
NR1H3,ENSG00000025434.18,ENST00000616973.4
TYMP,ENSG00000025708.13,ENST00000395681.5
NCAPH2,ENSG00000025770.18,ENST00000299821.15
TOMM34,ENSG00000025772.7,ENST00000372813.3
SEC63,ENSG00000025796.13,ENST00000369002.8
KPNA6,ENSG00000025800.13,ENST00000373625.7
VIM,ENSG00000026025.15,ENST00000544301.6
FAS,ENSG00000026103.21,ENST00000355740.6
RNASET2,ENSG00000026297.15,ENST00000508775.5
CD44,ENSG00000026508.18,ENST00000428726.7
KCNG1,ENSG00000026559.13,ENST00000371571.4
AGPAT4,ENSG00000026652.13,ENST00000320285.8
SLAMF7,ENSG00000026751.16,ENST00000368043.7
BTN3A1,ENSG00000026950.16,ENST00000289361.10
MIPEP,ENSG00000027001.9,ENST00000382172.3
PRKCH,ENSG00000027075.14,ENST00000332981.9
INSRR,ENSG00000027644.4,ENST00000368195.3
IFNGR1,ENSG00000027697.14,ENST00000367739.8
B4GALT7,ENSG00000027847.13,ENST00000029410.9
SH2D2A,ENSG00000027869.11,ENST00000392306.2
VRK2,ENSG00000028116.17,ENST00000435505.6
TNFRSF1B,ENSG00000028137.18,ENST00000376259.6
VEZT,ENSG00000028203.17,ENST00000436874.5
POU2F2,ENSG00000028277.21,ENST00000526816.6
BRD9,ENSG00000028310.17,ENST00000467963.5
SNX1,ENSG00000028528.14,ENST00000261889.9
TBPL1,ENSG00000028839.9,ENST00000237264.8
ARNTL2,ENSG00000029153.14,ENST00000266503.9
BCLAF1,ENSG00000029363.16,ENST00000531224.5
SLC39A9,ENSG00000029364.11,ENST00000336643.9
ANK1,ENSG00000029534.20,ENST00000265709.13
IBSP,ENSG00000029559.6,ENST00000226284.6
TFB1M,ENSG00000029639.10,ENST00000367166.4
RABEP1,ENSG00000029725.16,ENST00000537505.5
HMGB3,ENSG00000029993.14,ENST00000325307.11
NUP160,ENSG00000030066.13,ENST00000378460.6
BAK1,ENSG00000030110.12,ENST00000374467.3
MUSK,ENSG00000030304.13,ENST00000374448.8
IKZF2,ENSG00000030419.16,ENST00000434687.5
GRN,ENSG00000030582.17,ENST00000053867.7
FAM13B,ENSG00000031003.10,ENST00000033079.7
ARHGAP31,ENSG00000031081.10,ENST00000264245.8
CENPQ,ENSG00000031691.6,ENST00000335783.3
SARS,ENSG00000031698.12,ENST00000369923.4
RANBP3,ENSG00000031823.14,ENST00000340578.10
ARID4A,ENSG00000032219.18,ENST00000355431.7
EIPR1,ENSG00000032389.12,ENST00000398659.8
PNPLA6,ENSG00000032444.16,ENST00000414982.7
IFT88,ENSG00000032742.17,ENST00000319980.10
ALG1,ENSG00000033011.12,ENST00000262374.9
ABCF2,ENSG00000033050.8,ENST00000287844.6
CHPF2,ENSG00000033100.16,ENST00000035307.6
LRRC7,ENSG00000033122.18,ENST00000035383.9
FUT8,ENSG00000033170.16,ENST00000360689.9
UBA6,ENSG00000033178.12,ENST00000322244.9
GAB2,ENSG00000033327.12,ENST00000361507.4
ATP6V0A1,ENSG00000033627.16,ENST00000264649.10
PIAS1,ENSG00000033800.13,ENST00000545237.1
SLC4A7,ENSG00000033867.16,ENST00000454389.5
APBA2,ENSG00000034053.14,ENST00000558402.5
MAP2K3,ENSG00000034152.18,ENST00000342679.8
EFCAB1,ENSG00000034239.10,ENST00000262103.7
TMSB10,ENSG00000034510.5,ENST00000233143.5
ASTE1,ENSG00000034533.11,ENST00000514044.5
RNF19A,ENSG00000034677.12,ENST00000519449.5
PEX3,ENSG00000034693.14,ENST00000367591.4
GABARAPL2,ENSG00000034713.7,ENST00000037243.6
MYOC,ENSG00000034971.16,ENST00000037502.10
SH3YL1,ENSG00000035115.21,ENST00000356150.9
FAM136A,ENSG00000035141.7,ENST00000037869.7
VCL,ENSG00000035403.17,ENST00000211998.9
DEPDC1B,ENSG00000035499.12,ENST00000265036.9
DAPK2,ENSG00000035664.11,ENST00000261891.7
NSMAF,ENSG00000035681.8,ENST00000427130.6
ADSS,ENSG00000035687.9,ENST00000366535.3
STAP1,ENSG00000035720.7,ENST00000265404.6
